tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.03,0.13,0.08,0.09,0.09,0.14,0.15,0.14,0.1,0.08,0.08,0.05,0.07,0.13,0.1,0.13,0.09,0.07,0.12,0.12,0.14,0.08,0.09,0.03,0.08,0.1,0.1,0.16,0.08,0.06,0.06,0.08,0.1,0.12,0.17,0.06,0.08,0.11,0.09,0.03,0.15,0.06,0.15,0.11,0.09,0.13,0.15,0.16,0.08,0.18
20,0.15,0.1,0.07,0.18,0.09,0.18,0.12,0.35,0.14,0.08,0.16,0.13,0.12,0.16,0.15,0.08,0.19,0.1,0.06,0.1,0.1,0.18,0.12,0.21,0.21,0.15,0.05,0.15,0.11,0.11,0.07,0.16,0.14,0.2,0.28,0.18,0.12,0.16,0.15,0.13,0.16,0.26,0.15,0.16,0.13,0.04,0.15,0.19,0.16,0.13
40,0.18,0.08,0.07,0.23,0.06,0.13,0.16,0.41,0.09,0.17,0.17,0.27,0.11,0.24,0.16,0.19,0.22,0.31,0.12,0.21,0.12,0.21,0.33,0.28,0.1,0.14,0.13,0.24,0.14,0.28,0.12,0.1,0.14,0.23,0.2,0.09,0.15,0.09,0.19,0.25,0.12,0.37,0.16,0.25,0.19,0.17,0.17,0.3,0.13,0.1
60,0.27,0.25,0.1,0.21,0.24,0.19,0.13,0.37,0.14,0.14,0.2,0.19,0.19,0.32,0.22,0.19,0.33,0.23,0.13,0.22,0.15,0.24,0.34,0.29,0.08,0.1,0.07,0.27,0.17,0.32,0.24,0.12,0.15,0.18,0.27,0.15,0.16,0.08,0.31,0.25,0.23,0.38,0.26,0.23,0.21,0.21,0.27,0.33,0.12,0.19
80,0.32,0.25,0.19,0.26,0.18,0.22,0.25,0.32,0.14,0.27,0.29,0.24,0.21,0.29,0.23,0.25,0.22,0.34,0.25,0.33,0.13,0.34,0.33,0.29,0.22,0.2,0.17,0.29,0.2,0.33,0.23,0.22,0.17,0.38,0.25,0.14,0.17,0.14,0.31,0.29,0.3,0.36,0.34,0.29,0.15,0.23,0.37,0.37,0.2,0.29
100,0.32,0.22,0.22,0.35,0.25,0.19,0.12,0.39,0.19,0.24,0.32,0.3,0.22,0.3,0.32,0.29,0.31,0.4,0.2,0.36,0.19,0.34,0.36,0.27,0.26,0.15,0.24,0.35,0.25,0.3,0.2,0.28,0.2,0.25,0.36,0.29,0.26,0.14,0.26,0.35,0.29,0.38,0.35,0.32,0.27,0.31,0.37,0.27,0.28,0.37
120,0.31,0.29,0.23,0.38,0.29,0.26,0.35,0.35,0.38,0.25,0.39,0.31,0.28,0.22,0.31,0.39,0.34,0.37,0.26,0.38,0.22,0.37,0.32,0.33,0.29,0.36,0.17,0.32,0.22,0.32,0.25,0.23,0.34,0.38,0.37,0.22,0.41,0.21,0.31,0.29,0.31,0.33,0.34,0.41,0.3,0.28,0.34,0.38,0.28,0.32
140,0.41,0.29,0.29,0.44,0.3,0.32,0.4,0.36,0.26,0.3,0.4,0.36,0.27,0.29,0.32,0.45,0.44,0.37,0.31,0.37,0.3,0.41,0.38,0.36,0.33,0.34,0.34,0.32,0.27,0.46,0.36,0.37,0.36,0.37,0.36,0.29,0.32,0.37,0.39,0.36,0.45,0.44,0.34,0.41,0.3,0.32,0.35,0.37,0.44,0.46
160,0.35,0.31,0.31,0.39,0.33,0.35,0.29,0.41,0.45,0.21,0.27,0.34,0.38,0.37,0.36,0.44,0.5,0.42,0.42,0.43,0.38,0.42,0.37,0.27,0.29,0.45,0.4,0.41,0.37,0.45,0.4,0.38,0.4,0.44,0.38,0.34,0.42,0.37,0.31,0.41,0.28,0.41,0.39,0.36,0.4,0.33,0.47,0.48,0.39,0.44
