tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.11,0.09,0.07,0.2,0.15,0.16,0.17,0.13,0.19,0.1,0.08,0.23,0.14,0.12,0.12,0.16,0.04,0.09,0.04,0.11,0.06,0.05,0.07,0.1,0.11,0.12,0.12,0.07,0.06,0.14,0.02,0.1,0.15,0.12,0.12,0.15,0.1,0.13,0.1,0.1,0.11,0.08,0.14,0.15,0.13,0.06,0.1,0.03,0.1,0.18
20,0.11,0.25,0.15,0.19,0.11,0.15,0.12,0.19,0.17,0.19,0.1,0.25,0.15,0.13,0.21,0.17,0.14,0.11,0.08,0.23,0.2,0.1,0.22,0.22,0.13,0.15,0.1,0.09,0.14,0.12,0.11,0.08,0.24,0.16,0.16,0.21,0.14,0.16,0.14,0.13,0.16,0.2,0.19,0.23,0.17,0.11,0.17,0.12,0.12,0.25
40,0.13,0.33,0.22,0.15,0.18,0.14,0.24,0.41,0.15,0.24,0.13,0.22,0.17,0.23,0.21,0.27,0.18,0.2,0.13,0.24,0.2,0.26,0.36,0.3,0.19,0.35,0.16,0.21,0.17,0.25,0.27,0.29,0.33,0.24,0.13,0.25,0.12,0.28,0.19,0.18,0.29,0.36,0.29,0.2,0.3,0.29,0.46,0.24,0.18,0.38
60,0.17,0.31,0.24,0.27,0.18,0.2,0.35,0.42,0.16,0.22,0.23,0.28,0.23,0.31,0.25,0.14,0.27,0.36,0.15,0.34,0.29,0.28,0.48,0.41,0.22,0.22,0.22,0.3,0.16,0.35,0.29,0.34,0.27,0.35,0.12,0.36,0.1,0.4,0.31,0.18,0.32,0.4,0.18,0.19,0.24,0.47,0.39,0.23,0.19,0.49
80,0.14,0.32,0.26,0.26,0.36,0.34,0.31,0.35,0.2,0.33,0.23,0.41,0.22,0.3,0.32,0.24,0.51,0.44,0.12,0.23,0.23,0.37,0.43,0.45,0.48,0.35,0.2,0.33,0.4,0.31,0.35,0.33,0.34,0.36,0.25,0.27,0.07,0.42,0.28,0.32,0.37,0.46,0.28,0.3,0.31,0.38,0.48,0.21,0.24,0.46
100,0.18,0.35,0.4,0.2,0.51,0.56,0.45,0.35,0.27,0.34,0.21,0.37,0.29,0.41,0.37,0.29,0.49,0.45,0.18,0.31,0.32,0.26,0.36,0.4,0.44,0.4,0.33,0.33,0.34,0.4,0.31,0.33,0.36,0.44,0.34,0.4,0.16,0.49,0.27,0.22,0.49,0.53,0.27,0.44,0.34,0.44,0.51,0.32,0.29,0.48
120,0.31,0.41,0.35,0.15,0.39,0.62,0.48,0.49,0.31,0.38,0.37,0.37,0.32,0.45,0.49,0.41,0.5,0.37,0.2,0.25,0.47,0.41,0.6,0.33,0.64,0.38,0.28,0.37,0.32,0.34,0.53,0.31,0.37,0.46,0.45,0.54,0.14,0.59,0.17,0.19,0.57,0.51,0.32,0.39,0.33,0.43,0.47,0.27,0.34,0.6
140,0.43,0.26,0.53,0.2,0.3,0.58,0.5,0.42,0.44,0.29,0.35,0.24,0.32,0.54,0.38,0.57,0.4,0.42,0.28,0.29,0.47,0.47,0.49,0.39,0.6,0.42,0.33,0.5,0.42,0.34,0.44,0.33,0.32,0.45,0.55,0.55,0.18,0.6,0.23,0.25,0.62,0.6,0.43,0.49,0.4,0.49,0.41,0.39,0.38,0.76
160,0.49,0.41,0.47,0.24,0.38,0.46,0.6,0.42,0.51,0.32,0.45,0.42,0.28,0.53,0.46,0.44,0.48,0.33,0.17,0.31,0.37,0.46,0.42,0.43,0.56,0.28,0.31,0.48,0.47,0.36,0.47,0.34,0.45,0.39,0.57,0.62,0.16,0.47,0.36,0.27,0.6,0.77,0.53,0.62,0.47,0.47,0.4,0.4,0.45,0.69
180,0.51,0.33,0.58,0.26,0.52,0.46,0.59,0.41,0.44,0.25,0.42,0.39,0.3,0.47,0.48,0.49,0.43,0.44,0.3,0.4,0.4,0.42,0.52,0.37,0.59,0.47,0.34,0.54,0.5,0.35,0.5,0.41,0.36,0.44,0.62,0.6,0.14,0.4,0.41,0.25,0.5,0.56,0.47,0.56,0.47,0.5,0.47,0.47,0.45,0.6
200,0.43,0.43,0.56,0.33,0.54,0.32,0.5,0.43,0.45,0.31,0.44,0.45,0.29,0.57,0.56,0.54,0.35,0.46,0.22,0.4,0.35,0.47,0.38,0.38,0.63,0.43,0.34,0.47,0.56,0.37,0.45,0.37,0.58,0.32,0.47,0.6,0.22,0.43,0.46,0.23,0.51,0.54,0.42,0.62,0.55,0.6,0.55,0.48,0.43,0.56
220,0.47,0.42,0.54,0.36,0.51,0.47,0.54,0.43,0.57,0.32,0.39,0.4,0.32,0.61,0.59,0.67,0.29,0.39,0.37,0.44,0.47,0.56,0.41,0.38,0.62,0.49,0.3,0.53,0.55,0.33,0.51,0.48,0.57,0.33,0.52,0.56,0.15,0.38,0.46,0.22,0.55,0.43,0.52,0.49,0.56,0.38,0.5,0.49,0.52,0.51
240,0.4,0.48,0.56,0.29,0.52,0.36,0.52,0.38,0.59,0.28,0.38,0.4,0.34,0.63,0.61,0.65,0.22,0.46,0.36,0.37,0.45,0.47,0.36,0.47,0.63,0.48,0.33,0.48,0.55,0.38,0.45,0.48,0.55,0.29,0.33,0.68,0.12,0.46,0.62,0.25,0.51,0.51,0.54,0.51,0.57,0.55,0.46,0.48,0.46,0.5
260,0.36,0.48,0.53,0.22,0.6,0.38,0.42,0.45,0.57,0.29,0.48,0.64,0.44,0.49,0.54,0.67,0.26,0.49,0.39,0.43,0.43,0.61,0.44,0.47,0.5,0.32,0.46,0.42,0.52,0.46,0.45,0.47,0.42,0.42,0.41,0.61,0.15,0.4,0.51,0.27,0.35,0.5,0.47,0.45,0.48,0.44,0.57,0.41,0.46,0.5
280,0.37,0.51,0.47,0.31,0.51,0.44,0.5,0.41,0.61,0.43,0.48,0.65,0.44,0.57,0.52,0.67,0.18,0.39,0.35,0.49,0.43,0.59,0.28,0.47,0.5,0.39,0.43,0.51,0.57,0.37,0.34,0.6,0.44,0.4,0.4,0.61,0.11,0.45,0.5,0.28,0.28,0.57,0.59,0.64,0.44,0.54,0.47,0.47,0.55,0.47
300,0.44,0.46,0.43,0.32,0.44,0.36,0.51,0.36,0.51,0.49,0.4,0.57,0.43,0.52,0.5,0.6,0.17,0.5,0.44,0.46,0.53,0.56,0.34,0.53,0.5,0.37,0.51,0.48,0.59,0.39,0.48,0.57,0.41,0.32,0.47,0.62,0.11,0.42,0.51,0.34,0.42,0.44,0.56,0.46,0.44,0.43,0.54,0.4,0.64,0.39
320,0.36,0.46,0.36,0.26,0.46,0.46,0.55,0.33,0.48,0.49,0.55,0.55,0.42,0.5,0.35,0.43,0.2,0.42,0.27,0.52,0.45,0.54,0.34,0.44,0.47,0.47,0.45,0.41,0.56,0.33,0.46,0.51,0.47,0.28,0.37,0.67,0.11,0.48,0.54,0.31,0.49,0.42,0.53,0.51,0.45,0.54,0.51,0.36,0.68,0.34
340,0.43,0.49,0.39,0.37,0.44,0.58,0.4,0.46,0.5,0.51,0.51,0.56,0.45,0.45,0.36,0.55,0.23,0.42,0.22,0.54,0.46,0.57,0.46,0.49,0.43,0.26,0.48,0.43,0.48,0.27,0.45,0.6,0.4,0.33,0.35,0.61,0.14,0.56,0.42,0.34,0.53,0.44,0.46,0.46,0.36,0.39,0.52,0.53,0.59,0.33
