tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.1,0.11,0.1,0.05,0.16,0.18,0.16,0.07,0.1,0.16,0.1,0.14,0.08,0.16,0.09,0.1,0.17,0.01,0.12,0.03,0.17,0.19,0.08,0.08,0.14,0.15,0.06,0.11,0.11,0.17,0.11,0.15,0.08,0.1,0.13,0.1,0.14,0.1,0.06,0.06,0.1,0.12,0.12,0.05,0.09,0.15,0.16,0.16,0.03,0.11
20,0.14,0.15,0.1,0.11,0.13,0.2,0.07,0.07,0.16,0.16,0.12,0.1,0.11,0.1,0.13,0.09,0.09,0.09,0.09,0.04,0.22,0.17,0.1,0.05,0.12,0.03,0.14,0.18,0.14,0.07,0.09,0.09,0.09,0.09,0.1,0.13,0.15,0.03,0.1,0.08,0.16,0.16,0.06,0.13,0.08,0.07,0.11,0.12,0.05,0.06
40,0.17,0.11,0.14,0.12,0.08,0.17,0.13,0.11,0.25,0.2,0.04,0.08,0.14,0.1,0.16,0.17,0.07,0.12,0.09,0.05,0.23,0.12,0.13,0.05,0.09,0.02,0.11,0.17,0.14,0.09,0.16,0.14,0.15,0.18,0.12,0.09,0.11,0.05,0.08,0.05,0.2,0.1,0.09,0.09,0.07,0.16,0.07,0.12,0.08,0.1
60,0.13,0.15,0.1,0.12,0.08,0.08,0.11,0.1,0.25,0.2,0.11,0.13,0.08,0.13,0.16,0.08,0.13,0.17,0.12,0.04,0.21,0.07,0.09,0.1,0.14,0.08,0.12,0.28,0.12,0.12,0.14,0.12,0.22,0.18,0.13,0.08,0.13,0.07,0.1,0.12,0.16,0.14,0.14,0.15,0.1,0.11,0.13,0.11,0.18,0.07
80,0.17,0.1,0.05,0.09,0.15,0.07,0.2,0.13,0.31,0.21,0.11,0.08,0.08,0.19,0.17,0.13,0.12,0.15,0.13,0.11,0.23,0.07,0.13,0.16,0.2,0.06,0.15,0.17,0.11,0.14,0.14,0.16,0.18,0.17,0.1,0.1,0.08,0.18,0.2,0.13,0.13,0.1,0.2,0.09,0.27,0.17,0.11,0.08,0.12,0.08
100,0.15,0.18,0.1,0.13,0.18,0.17,0.3,0.09,0.25,0.12,0.09,0.12,0.1,0.13,0.14,0.14,0.16,0.23,0.08,0.17,0.34,0.09,0.11,0.19,0.2,0.07,0.16,0.18,0.12,0.05,0.3,0.19,0.15,0.21,0.11,0.12,0.11,0.16,0.12,0.07,0.12,0.08,0.18,0.11,0.16,0.18,0.1,0.15,0.15,0.05
120,0.11,0.16,0.08,0.21,0.1,0.19,0.14,0.16,0.22,0.11,0.15,0.22,0.16,0.15,0.1,0.11,0.14,0.22,0.07,0.16,0.22,0.12,0.11,0.14,0.28,0.13,0.22,0.22,0.19,0.08,0.19,0.17,0.15,0.2,0.11,0.09,0.13,0.18,0.09,0.15,0.16,0.15,0.14,0.11,0.22,0.16,0.09,0.09,0.13,0.1
140,0.12,0.16,0.13,0.18,0.14,0.2,0.23,0.18,0.25,0.21,0.24,0.2,0.19,0.17,0.17,0.1,0.23,0.15,0.07,0.1,0.14,0.09,0.15,0.2,0.17,0.08,0.2,0.18,0.1,0.08,0.26,0.15,0.14,0.25,0.17,0.19,0.17,0.3,0.14,0.18,0.18,0.14,0.13,0.17,0.23,0.26,0.07,0.13,0.18,0.1
160,0.16,0.19,0.1,0.15,0.16,0.24,0.17,0.25,0.18,0.09,0.23,0.15,0.09,0.2,0.14,0.11,0.22,0.14,0.19,0.14,0.15,0.12,0.24,0.19,0.2,0.09,0.25,0.22,0.1,0.14,0.15,0.22,0.21,0.29,0.14,0.19,0.17,0.23,0.06,0.24,0.14,0.22,0.19,0.16,0.22,0.18,0.09,0.13,0.15,0.11
180,0.12,0.14,0.19,0.16,0.17,0.23,0.18,0.27,0.27,0.07,0.31,0.18,0.14,0.16,0.19,0.1,0.13,0.17,0.13,0.13,0.2,0.14,0.16,0.21,0.26,0.08,0.19,0.22,0.16,0.1,0.23,0.24,0.14,0.23,0.15,0.22,0.29,0.21,0.12,0.2,0.16,0.24,0.16,0.23,0.17,0.27,0.1,0.22,0.2,0.09
200,0.11,0.21,0.21,0.21,0.22,0.27,0.25,0.27,0.29,0.09,0.24,0.29,0.13,0.26,0.1,0.11,0.23,0.23,0.14,0.19,0.19,0.12,0.2,0.23,0.18,0.14,0.31,0.18,0.14,0.18,0.23,0.19,0.25,0.3,0.23,0.18,0.23,0.34,0.08,0.24,0.13,0.11,0.2,0.13,0.19,0.26,0.14,0.22,0.3,0.1
220,0.13,0.25,0.26,0.17,0.23,0.22,0.3,0.22,0.28,0.16,0.26,0.2,0.17,0.29,0.09,0.13,0.16,0.19,0.16,0.18,0.15,0.15,0.12,0.29,0.3,0.2,0.29,0.24,0.22,0.14,0.27,0.27,0.19,0.3,0.24,0.21,0.16,0.24,0.11,0.18,0.13,0.27,0.18,0.15,0.17,0.24,0.15,0.21,0.24,0.11
240,0.18,0.27,0.23,0.26,0.18,0.18,0.21,0.3,0.39,0.11,0.23,0.2,0.13,0.32,0.14,0.11,0.2,0.22,0.23,0.17,0.12,0.2,0.24,0.25,0.24,0.14,0.29,0.27,0.19,0.23,0.19,0.26,0.27,0.33,0.27,0.21,0.3,0.32,0.19,0.24,0.17,0.23,0.13,0.2,0.25,0.41,0.17,0.22,0.21,0.2
260,0.1,0.3,0.29,0.3,0.22,0.22,0.35,0.28,0.44,0.17,0.16,0.36,0.21,0.37,0.15,0.11,0.25,0.22,0.26,0.25,0.13,0.12,0.29,0.28,0.36,0.18,0.31,0.22,0.32,0.2,0.2,0.21,0.26,0.29,0.27,0.22,0.18,0.34,0.07,0.23,0.14,0.21,0.16,0.26,0.23,0.32,0.1,0.27,0.27,0.11
280,0.09,0.32,0.2,0.35,0.22,0.31,0.24,0.25,0.27,0.12,0.24,0.28,0.15,0.37,0.21,0.09,0.24,0.24,0.23,0.18,0.1,0.14,0.25,0.3,0.29,0.13,0.2,0.24,0.27,0.21,0.17,0.18,0.27,0.34,0.28,0.28,0.23,0.36,0.12,0.27,0.14,0.27,0.2,0.19,0.25,0.34,0.17,0.41,0.3,0.15
